name,address,category,tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,shop_tag,brand,opening_hours,geocode_source,already_in_app
Smith's Family Market & Grill,"802, East 22nd Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1219621,-80.0580533,156,163,175,8575543963,node,convenience,,,openstreetmap,False
Speed Check,"2267, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1347947,-80.0265357,156,163,175,3372651386,node,convenience,,,openstreetmap,False
Speed Check,"1505, Buffalo Road, Erie, PA, 16510",Convenience & Fuel,convenience,42.1289064,-80.0422825,156,163,175,7527787537,node,convenience,,,openstreetmap,False
Speed Check,"1705, Parade Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1221782,-80.0690174,156,163,175,7567776823,node,convenience,,,openstreetmap,False
Speed Check,"2747, West 12th Street, Erie, PA, 16505",Convenience & Fuel,convenience,42.1006763,-80.1422002,156,163,175,7697699825,node,convenience,,,openstreetmap,False
Speed Check,"1001, East Avenue, Erie, PA, 16501",Convenience & Fuel,convenience,42.1336579,-80.0597912,156,163,175,7913788550,node,convenience,,,openstreetmap,False
Speed Check,"1150, East Lake Road, Erie, PA, 16507",Convenience & Fuel,convenience,42.1398289,-80.0592298,156,163,175,7913800137,node,convenience,,,openstreetmap,False
Speed Check,"2176, West 32nd Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.0892093,-80.1196605,156,163,175,9549510642,node,convenience,,,openstreetmap,False
Speed Check,"607, West 18th Street, Erie, PA, 16502",Convenience & Fuel,convenience,42.1131331,-80.0915164,156,163,175,9895122002,node,convenience,,,openstreetmap,False
Speed Check,"563, West 26th Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.1067569,-80.0860712,156,163,175,13443759488,node,convenience,,,openstreetmap,False
Stanganelli's,"1621, West 26th Street, Erie, PA, 16508",Full-Service,standard,42.0985019,-80.108981,59,130,246,8532077136,node,supermarket,,,openstreetmap,False
Stanganelli's Italian Foods,"602, East 25th Street, Erie, PA, 16503",Full-Service,standard,42.1179816,-80.0608827,59,130,246,8540835201,node,supermarket,,,openstreetmap,False
State Line Grocery,"10765, West Main Street, Ripley, NY, 14775",Full-Service,standard,42.2441377,-79.7595288,59,130,246,8184705669,node,supermarket,,,openstreetmap,False
State Street Market,"1022, State Street, Erie, PA, 16501",Full-Service,standard,42.1247741,-80.0825079,59,130,246,7717356754,node,supermarket,,,openstreetmap,False
Sunoco,"26, East 12th Street, Erie, PA, 16501",Convenience & Fuel,convenience,42.1242884,-80.0805702,156,163,175,7570135836,node,convenience,Sunoco,,openstreetmap,False
TJ Maxx,"2070, Interchange Road, Erie, PA, 16565",Big Box,bigbox,42.0650597,-80.1007579,139,92,246,7508284881,node,department_store,TJ Maxx,,openstreetmap,False
TJ Maxx,,Big Box,bigbox,41.6227432,-80.1987856,139,92,246,11063445576,node,department_store,TJ Maxx,,openstreetmap,False
The Steel Store,,Big Box,bigbox,41.6449269,-80.1567762,139,92,246,10174421386,node,wholesale,,,openstreetmap,False
Thomas Convenience Store,"718, West 18th Street, Erie, PA, 16502",Convenience & Fuel,convenience,42.1126129,-80.0944554,156,163,175,9440678381,node,convenience,,,openstreetmap,False
Tops,"1702, East 38th Street, Erie, PA, 16510",Full-Service,standard,42.1176004,-80.0307923,59,130,246,4635143845,node,supermarket,Tops,,openstreetmap,False
Tops,"712, West 38th Street, Erie, PA, 16508",Full-Service,standard,42.097255,-80.0843165,59,130,246,7573221729,node,supermarket,Tops,06:00-24:00,openstreetmap,False
Tops,"230, High Street, Waterford, PA, 16441",Full-Service,standard,41.9379136,-79.9828673,59,130,246,8075456656,node,supermarket,Tops,,openstreetmap,False
Tops,"19, East High Street, Union City, PA, 16438",Full-Service,standard,41.9003598,-79.8439454,59,130,246,8707096245,node,supermarket,Tops,,openstreetmap,False
Tops,"144, West Center Street, Meadville, PA, 16335",Full-Service,standard,41.6403746,-80.1562119,59,130,246,834283143,way,supermarket,Tops,,openstreetmap,False
Trawka's Market,"712, Payne Avenue, Erie, PA, 16503",Full-Service,standard,42.1381543,-80.0540215,59,130,246,8010061158,node,supermarket,,,openstreetmap,False
Tripifoods,"1418, East 12th Street, Erie, PA, 16503",Big Box,bigbox,42.1348281,-80.0505124,139,92,246,8210622438,node,wholesale,,,openstreetmap,False
UK Supermarket,"1105, Parade Street, Erie, PA, 16503",Full-Service,standard,42.1275229,-80.0729278,59,130,246,7581073125,node,supermarket,,,openstreetmap,False
Valesky's,"1044, Water Street, Meadville, PA, 16335",Full-Service,standard,41.6354747,-80.1569165,59,130,246,8476490365,node,supermarket,,,openstreetmap,False
Veritiv,"1662, Greengarden Boulevard, Erie, PA, 16501",Big Box,bigbox,42.105633,-80.1159453,139,92,246,8698039639,node,wholesale,,,openstreetmap,False
Verna's Discount Grocery,"560, Washington Street, Meadville, PA, 16335",Convenience & Fuel,convenience,41.6404056,-80.1405161,156,163,175,984102093,way,convenience,,Mo-Fr 07:00-20:00; Sa 08:00-18:00; Su 09:00-17:00,openstreetmap,False
Way 2 Go!,"1002, Liberty Street, Erie, PA, 16502",Convenience & Fuel,convenience,42.1186924,-80.099732,156,163,175,7997062765,node,convenience,,,openstreetmap,False
Westside Market on Powell,"1119, Powell Avenue, Erie, PA, 16505",Full-Service,premium,42.0923922,-80.167362,34,197,94,12717385700,node,supermarket,,,openstreetmap,False
ALDI,"2222, Downs Drive, Erie, PA, 16509",Value & Discount,value,42.0509199,-80.0860248,251,191,36,7571652393,node,supermarket,ALDI,Mo-Su 08:30-20:00,openstreetmap,True
ALDI,"2647, West 12th Street, Erie, PA, 16505",Value & Discount,value,42.1009489,-80.1400119,251,191,36,7600980761,node,supermarket,ALDI,Mo-Su 08:30-20:00,openstreetmap,True
ALDI,"16500, Conneaut Lake Road, Meadville, PA, 16335",Value & Discount,value,41.6231413,-80.2058248,251,191,36,866066646,way,supermarket,ALDI,Mo-Su 08:30-20:00,openstreetmap,True
Aldi,"4728, Buffalo Road, Erie, PA, 16510",Value & Discount,value,42.1508307,-79.9955259,251,191,36,7567529748,node,supermarket,Aldi,Mo-Su 09:00-20:00,openstreetmap,True
Country Fair,"7650, Old Perry Highway, Erie, PA, 16509",Convenience & Fuel,convenience,42.0709967,-80.0425083,156,163,175,1589495965,node,convenience,,,openstreetmap,True
Country Fair,"7495, West Ridge Road, Fairview, PA, 16415",Convenience & Fuel,convenience,42.0313395,-80.2546603,156,163,175,2060526063,node,convenience,,,openstreetmap,True
Country Fair,"8080, Peach Street, Erie, PA, 16509",Convenience & Fuel,convenience,42.0474922,-80.0802323,156,163,175,2066938480,node,convenience,,,openstreetmap,True
Country Fair,"7400, Peach Street, Erie, PA, 16509",Convenience & Fuel,convenience,42.0524396,-80.0857864,156,163,175,2066973748,node,convenience,,,openstreetmap,True
Country Fair,"2500, Zimmerly Road, Erie, PA, 16506",Convenience & Fuel,convenience,42.0661716,-80.1139751,156,163,175,2066983766,node,convenience,,,openstreetmap,True
Country Fair,"3826, Peach Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.0958868,-80.0827173,156,163,175,2101061151,node,convenience,,,openstreetmap,True
Country Fair,"2617, West 26th Street, Erie, PA, 16506",Convenience & Fuel,convenience,42.0898474,-80.131382,156,163,175,2104910856,node,convenience,Citgo,,openstreetmap,True
Country Fair,"2301, Peninsula Drive, Erie, PA, 16506",Convenience & Fuel,convenience,42.0905608,-80.1388456,156,163,175,2104911036,node,convenience,,,openstreetmap,True
