median_household_income,total_population,median_age,state,zcta,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,year,area_name,county_name
64654,5301,44.6,PA,16314,7.7,11.6,6.0,3.6,95.0,0.2,0.6,0.4,3.8,6.7,86.7,2022,Cochranton,Crawford
64911,4607,49.5,PA,16316,10.1,14.3,18.0,4.5,96.0,0.0,2.3,0.2,1.5,3.5,81.1,2022,Conneaut Lake,Crawford
63654,2590,42.4,PA,16327,7.7,13.5,9.6,3.4,94.2,1.4,1.7,0.0,2.7,2.6,88.3,2022,Guys Mills,Crawford
46500,249,48.9,PA,16328,11.1,6.1,17.6,16.3,100.0,0.0,0.0,0.0,0.0,19.6,83.7,2022,Hydetown,Crawford
59007,27497,42.9,PA,16335,11.5,16.2,17.3,11.1,91.2,2.9,1.5,1.0,3.4,5.1,60.5,2022,Meadville,Crawford
43026,10225,46.4,PA,16354,19.4,8.5,17.8,13.5,95.4,1.2,0.8,0.8,1.8,8.2,70.0,2022,Titusville,Crawford
70179,1385,43.2,PA,16360,19.4,15.6,12.6,2.6,96.5,1.6,1.2,0.0,0.7,5.5,80.8,2022,Townville,Crawford
68056,4103,47.3,PA,16401,11.2,11.7,21.2,7.7,95.5,1.0,1.0,0.3,2.2,5.8,82.0,2022,Albion,Erie
67847,6980,40.2,PA,16403,10.3,13.7,8.0,7.3,93.2,2.5,2.6,0.4,1.3,4.0,83.2,2022,Cambridge Springs,Crawford
58942,3285,44.2,PA,16404,20.0,8.9,19.4,8.1,91.6,0.8,0.8,0.3,6.5,8.4,82.7,2022,Centerville,Crawford
63880,3479,42.6,PA,16406,12.2,8.5,27.6,7.3,95.8,1.0,2.2,0.0,1.0,6.1,81.5,2022,Conneautville,Crawford
51098,10656,43.9,PA,16407,17.9,15.0,25.2,10.6,91.9,0.2,2.9,0.5,4.5,7.6,74.9,2022,Corry,Erie
94917,1995,43.3,PA,16410,7.6,20.0,6.7,0.8,93.5,1.6,2.8,0.2,1.9,3.0,91.0,2022,Cranesville,Erie
63664,1260,45.4,PA,16411,9.9,9.7,0.0,3.7,96.6,0.0,0.5,0.0,2.9,9.8,75.5,2022,East Springfield,Erie
