tract_code,county_fips,year,NAME,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,race_total
011101,049,2020,"Census Tract 111.01, Erie County, Pennsylvania",5373,37.8,94.6,1.7,1.2,0.7,1.8,5083,94,67,36,5373
011102,049,2020,"Census Tract 111.02, Erie County, Pennsylvania",3236,37.8,83.3,8.6,3.9,3.2,1.0,2697,277,125,103,3236
011201,049,2020,"Census Tract 112.01, Erie County, Pennsylvania",4529,44.4,93.4,2.6,2.1,0.0,1.9,4228,116,95,0,4529
011202,049,2020,"Census Tract 112.02, Erie County, Pennsylvania",7109,49.0,93.3,0.3,3.5,0.2,2.7,6633,23,252,14,7109
011300,049,2020,"Census Tract 113, Erie County, Pennsylvania",3147,36.1,80.5,1.7,7.4,4.3,6.1,2532,54,234,134,3147
011400,049,2020,"Census Tract 114, Erie County, Pennsylvania",3780,36.4,89.1,9.0,1.0,0.6,0.3,3369,342,38,22,3780
011503,049,2020,"Census Tract 115.03, Erie County, Pennsylvania",4008,49.5,94.4,1.6,0.7,1.8,1.5,3782,65,27,73,4008
011508,049,2020,"Census Tract 115.08, Erie County, Pennsylvania",5313,50.6,92.5,0.0,0.3,5.5,1.7,4916,0,16,290,5313
011509,049,2020,"Census Tract 115.09, Erie County, Pennsylvania",2842,48.2,96.4,0.8,1.4,0.0,1.4,2739,24,39,0,2842
011510,049,2020,"Census Tract 115.10, Erie County, Pennsylvania",2806,50.5,98.6,0.6,0.5,0.0,0.3,2767,17,15,0,2806
011511,049,2020,"Census Tract 115.11, Erie County, Pennsylvania",2250,19.5,81.4,3.4,1.5,11.2,2.5,1832,77,33,252,2250
011600,049,2020,"Census Tract 116, Erie County, Pennsylvania",4065,39.6,89.3,1.7,4.3,0.1,4.6,3632,71,174,3,4065
011701,049,2020,"Census Tract 117.01, Erie County, Pennsylvania",2939,42.8,88.8,2.9,5.7,1.0,1.6,2611,85,167,28,2939
011702,049,2020,"Census Tract 117.02, Erie County, Pennsylvania",5343,38.7,93.5,1.0,3.5,0.0,2.0,4997,56,187,0,5343
011801,049,2020,"Census Tract 118.01, Erie County, Pennsylvania",2937,36.4,97.1,0.0,1.6,0.3,1.0,2853,0,47,9,2937
011802,049,2020,"Census Tract 118.02, Erie County, Pennsylvania",2973,48.9,98.7,0.1,0.3,0.4,0.5,2933,2,8,13,2973
011900,049,2020,"Census Tract 119, Erie County, Pennsylvania",6285,42.5,87.6,4.0,1.9,0.0,6.5,5503,251,118,0,6285
012001,049,2020,"Census Tract 120.01, Erie County, Pennsylvania",2665,51.1,95.2,0.0,3.3,0.4,1.1,2536,1,88,10,2665
012002,049,2020,"Census Tract 120.02, Erie County, Pennsylvania",3148,45.5,95.5,0.0,3.1,0.0,1.4,3006,0,98,0,3148
012100,049,2020,"Census Tract 121, Erie County, Pennsylvania",7247,46.5,95.6,0.0,2.6,0.5,1.3,6928,3,189,37,7247
012201,049,2020,"Census Tract 122.01, Erie County, Pennsylvania",5945,41.7,95.3,0.7,2.8,0.2,1.0,5664,42,167,13,5945
012202,049,2020,"Census Tract 122.02, Erie County, Pennsylvania",5599,24.1,93.5,2.1,1.9,1.4,1.1,5237,115,106,77,5599
