tract_code,year,food_insecurity_rate,food_insecure_persons,unemployment_rate,percent_black,percent_hispanic,homeownership_rate,disability_rate
011101,2022,13.2,720.0,5.6,7.6,3.6,61.5,11.8
011101,2023,13.4,720.0,5.2,6.2,3.2,62.7,12.0
011102,2020,4.6,150.0,1.9,13.1,3.9,65.3,10.1
011102,2021,4.8,160.0,1.7,12.2,7.5,70.9,10.6
011102,2022,8.6,270.0,1.0,13.5,9.0,73.7,12.8
011102,2023,10.7,350.0,2.4,11.6,11.2,70.4,13.0
011201,2020,12.0,540.0,4.2,4.3,2.1,89.2,18.7
011201,2021,13.1,590.0,7.0,4.6,1.8,87.2,19.7
011201,2022,15.6,700.0,5.2,3.0,1.4,87.1,18.9
011201,2023,16.8,750.0,5.9,2.6,0.7,88.9,20.9
011202,2020,4.4,310.0,1.0,1.9,3.5,84.2,15.3
011202,2021,5.8,420.0,0.7,2.2,5.7,83.1,13.3
011202,2022,10.3,750.0,0.9,1.9,5.8,81.1,15.1
011202,2023,10.8,790.0,1.3,2.3,2.9,81.4,14.1
011300,2020,11.6,360.0,4.4,6.2,7.4,73.5,13.4
011300,2021,12.3,400.0,6.9,6.4,7.1,75.2,15.4
011300,2022,17.2,550.0,7.8,6.7,5.5,70.7,18.2
011300,2023,18.7,600.0,9.1,7.1,5.0,71.0,19.0
011400,2020,10.1,380.0,3.9,9.5,1.0,71.4,17.2
011400,2021,10.5,400.0,3.9,10.3,0.5,74.9,15.3
011400,2022,13.8,530.0,1.9,10.8,1.1,78.0,18.0
011400,2023,11.8,450.0,2.4,11.9,0.5,81.3,12.7
011503,2020,7.6,300.0,1.9,1.8,0.7,69.6,18.8
011503,2021,7.6,300.0,1.8,1.7,0.6,69.7,18.3
011503,2022,10.5,410.0,0.9,1.0,1.3,67.9,19.2
011503,2023,10.5,400.0,0.9,1.6,2.2,70.8,19.5
011508,2020,5.9,310.0,5.0,1.6,0.3,89.3,16.8
011508,2021,8.6,440.0,10.6,1.9,1.6,90.9,15.2
011508,2022,11.0,570.0,8.8,0.5,1.9,92.5,13.6
011508,2023,10.8,550.0,8.7,0.5,2.9,93.2,11.4
011509,2020,8.8,250.0,2.3,0.8,1.4,66.9,11.3
011509,2021,10.0,270.0,2.1,0.3,2.5,67.6,11.1
011509,2022,13.4,360.0,2.4,0.0,1.2,71.9,12.2
011509,2023,14.3,390.0,1.8,1.2,1.4,75.5,14.7
011510,2020,6.2,170.0,2.1,0.6,0.5,93.9,14.6
011510,2021,6.6,180.0,3.3,0.8,0.9,88.2,13.2
011510,2022,9.0,240.0,4.0,0.8,0.3,85.9,8.9
011510,2023,9.8,280.0,3.4,0.0,0.5,83.2,12.3
