stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,daily_visits,first_service,last_service
942,942,E Lake Rd at Brandes St,,42.1395568848,-80.058876,,,0,,0,67,5:57 AM,10:58 PM
943,943,E Lake Rd at Dunn,,42.1394577026,-80.059425,,,0,,0,67,6:17 AM,11:37 PM
944,944,E Lake Rd at Hess Ave,,42.1400642395,-80.05777,,,0,,0,67,6:16 AM,11:36 PM
945,945,E Lake Rd at Hess Ave,,42.139919281,-80.057877,,,0,,0,67,5:57 AM,10:58 PM
946,946,E Lake Rd at Gilson Ave,,42.1414871216,-80.053345,,,0,,0,67,5:58 AM,10:59 PM
947,947,E Lake Rd at Hammermill,,42.141746521,-80.053276,,,0,,0,67,6:15 AM,11:35 PM
948,948,E Lake Rd at Cranch Ave,,42.1441116333,-80.046799,,,0,,0,67,6:13 AM,11:33 PM
949,949,E Lake Rd at Downing Ave,,42.144077301,-80.046165,,,0,,0,67,6:00 AM,11:01 PM
95,95,W 15th St OB,,42.1048240662,-80.124962,,,0,,0,58,5:09 AM,11:34 PM
950,950,E Lake Rd at Andrews Park,,42.1444702148,-80.045792,,,0,,0,67,6:13 AM,11:33 PM
9500,9500,26th & Liberty,,42.10572052,-80.090561,,,0,,0,2,5:49 PM,5:49 PM
9501,9501,Intersection Rt. 20 & 98 (Shell Station),,42.031829834,-80.255196,,,0,,0,4,9:42 AM,3:40 PM
9503,9503,Rice Avenue (Northwest Bank),,42.0141792297,-80.345024,,,0,,0,16,7:05 AM,5:12 PM
9504,9504,Rt 18 & Crane,,41.9048690796,-80.343689,,,0,,0,8,10:16 AM,4:47 PM
9505,9505,SCI,,41.877266,-80.366236,,,0,,0,4,10:25 AM,4:24 PM
