ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
16412,16412,2020,Edinboro,Crawford,54641.0,10041,37.2,PA,15.1,28.9,35.1,7.0,95.1,0.5,2.5,0.8,1.1,4.6,63.7,10.2
16415,16415,2020,Fairview,Erie,96366.0,9492,41.0,PA,3.3,23.1,42.5,5.5,92.8,0.7,2.7,1.4,2.4,4.9,93.4,10.7
16416,16416,2020,Garland,Warren,60417.0,158,49.0,PA,3.2,0.0,0.0,0.0,87.3,0.0,0.0,0.0,12.7,9.6,86.2,21.2
16417,16417,2020,Girard,Erie,67225.0,8141,44.0,PA,11.0,21.1,20.9,3.0,92.6,1.1,5.0,0.3,1.0,2.7,74.4,15.3
16420,16420,2020,Grand Valley,Venango,38125.0,499,53.3,PA,15.2,8.0,0.0,2.7,99.8,0.0,0.0,0.0,0.2,8.3,92.4,14.3
16421,16421,2020,Lake City,Erie,68784.0,2606,46.0,PA,14.8,20.4,0.0,2.8,96.9,1.0,0.3,0.0,1.8,0.9,65.5,4.4
16422,16422,2020,Harmonsburg,Crawford,38333.0,366,37.7,PA,24.9,30.3,100.0,19.4,100.0,0.0,0.0,0.0,0.0,4.2,90.3,38.8
16423,16423,2020,Lowville/Wattsburg,Erie,59028.0,4018,42.1,PA,9.2,16.1,12.9,2.8,90.6,0.6,5.5,0.0,3.3,5.3,82.3,16.5
16424,16424,2020,Linesville,Crawford,49750.0,4641,48.6,PA,10.4,11.2,18.0,6.1,97.5,0.0,1.0,0.2,1.3,5.0,85.3,13.1
16426,16426,2020,McKean,Erie,63889.0,3389,47.8,PA,12.5,12.4,4.8,6.7,93.2,0.5,0.5,0.0,5.8,5.0,84.2,13.0
16427,16427,2020,Mill Village,Erie,44750.0,146,36.5,PA,34.2,5.9,37.5,7.9,97.9,0.0,1.4,0.0,0.7,9.5,74.6,31.7
