TRACTCE,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
111100,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,4,7,7,358.0117865392492,0.22,22147.119933293423,13.76,1479.120996721148,0.92,2608.1397472675367,1.62,33657.1571349317,20.91,10895.941953216274,6.77,1866.2158499438501,1.16
111700,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,0,0,12,2853.149669329034,1.77,2839.901003219243,1.76,2748.8552077182744,1.71,1204.5456024105606,0.75,2158.09255398506,1.34,1102.2278603488357,0.68,1054.592551615231,0.66
111600,2,0,0,0,2,0,0,2,1,0,7,1,5,0,2,4,6,40,105.03716467043705,0.07,413.26699525020865,0.26,913.3501041374655,0.57,161.7426095147414,0.1,554.9176711654762,0.34,1181.7344636699108,0.73,224.64718979799426,0.14
110700,1,0,0,0,2,0,0,2,0,0,2,1,7,0,1,3,5,22,4705.51284019298,2.92,9419.876942326808,5.85,9216.110612031216,5.73,2430.1688700478344,1.51,4882.894520464569,3.03,7067.70161762582,4.39,4635.02237209587,2.88
110100,0,0,0,0,4,0,0,2,1,0,1,0,2,2,0,4,6,28,3684.114940924015,2.29,5866.872780593676,3.65,17559.256410089456,10.91,5744.009659701138,3.57,15335.268546213016,9.53,5716.78068280551,3.55,17114.645957303266,10.63
111300,0,1,1,0,1,0,0,2,1,0,0,0,17,0,1,3,5,34,1971.1659819455347,1.22,1933.818634883815,1.2,13110.226002298932,8.15,12038.45310845991,7.48,13122.117444581485,8.15,12921.276185134097,8.03,2093.298710278573,1.3
111000,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,2,10,3036.464471419455,1.89,18420.51865772637,11.45,2754.5190643485225,1.71,3012.718242565782,1.87,29822.647256771234,18.53,7341.199045026666,4.56,2331.1553661010844,1.45
110400,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,4,5,7,3730.4768477299913,2.32,25621.33703940635,15.92,26150.984972238348,16.25,19351.131950043185,12.02,22968.31061198084,14.27,22766.31275299187,14.15,22727.861118066012,14.12
110600,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,4972.112661026533,3.09,9512.89209371541,5.91,9499.70022981127,5.9,4985.644962986711,3.1,5030.400179882659,3.13,7933.587387124131,4.93,7189.62908194707,4.47
111900,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,5,7992.158360194471,4.97,16203.147573932793,10.07,16992.97897821373,10.56,9893.228565158848,6.15,16578.08950396287,10.3,15197.978150715191,9.44,16198.996893773232,10.07
111400,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,1,2,7,2792.003643511595,1.73,3156.111282527019,1.96,3252.676528929059,2.02,2671.4706459072463,1.66,3348.5153431584285,2.08,3680.1132377628637,2.29,3516.255607593639,2.18
111800,4,0,0,0,3,0,0,4,0,0,7,0,2,1,0,7,12,30,533.0005301922643,0.33,5607.595096371079,3.48,6370.2455520039675,3.96,1654.2394611188402,1.03,5960.231045910726,3.7,4835.398111211415,3.0,5567.4027556782285,3.46
